"term","contrast","country","estimate","conf.low","conf.high"
"drought","drought","Austria",0.083372663065623,-0.0404007907176808,0.180633343452216
"earthquake","earthquake","Austria",0.071612982888008,-0.0456163868647482,0.170681446596845
"flooding","flooding","Austria",0.067820107458783,-0.0069810051988151,0.132816453805894
"heatwave","heatwave","Austria",0.10688905638543,-0.0827414354322145,0.221218316539389
"hurricane","hurricane","Austria",0.0644387699332069,0.000798978576541899,0.118547550589009
"mudslide","mudslide","Austria",0.088669943302332,0.00291732029513078,0.167346286848445
"sandstorm","sandstorm","Austria",0.0487483989668306,-0.321065919398172,0.237515124910196
"snowstorm","snowstorm","Austria",0.0390092903162681,-0.0704679275901676,0.12434752511394
"thunder","thunder","Austria",0.0402804315690118,-0.0799292601640357,0.114357940059793
"tornado","tornado","Austria",0.0699663772996959,-0.0842567523914111,0.191848509215039
"volcano","volcano","Austria",-0.00913267588226298,-0.427526149189457,0.223188186176123
"wildfire","wildfire","Austria",0.061101498300374,-0.0534573899059897,0.138087473769342
"drought","drought","Brazil",0.0353509479905667,-0.0429994467734466,0.0892304574858355
"earthquake","earthquake","Brazil",0.0322478429656644,-0.0429739250954614,0.0845317647824949
"flooding","flooding","Brazil",0.0567165943659934,0.0239920600207179,0.088785538184965
"heatwave","heatwave","Brazil",0.0590256979997581,-0.0559612216901923,0.116863433963987
"hurricane","hurricane","Brazil",0.0379974379438048,0.00447102706460747,0.0699707287305584
"mudslide","mudslide","Brazil",0.0534572487612718,0.0135315085796772,0.101171239470968
"sandstorm","sandstorm","Brazil",0.0269241335579476,-0.24206753123404,0.121096459488294
"snowstorm","snowstorm","Brazil",0.0316979755072857,-0.0801189016545064,0.099814205114428
"thunder","thunder","Brazil",0.0331559269958195,-0.0566208725231247,0.0888652323929837
"tornado","tornado","Brazil",0.0398236889334808,-0.0497755255758164,0.105612766787341
"volcano","volcano","Brazil",-0.0069369957283926,-0.394508939984309,0.115800743827715
"wildfire","wildfire","Brazil",0.0373672006692807,-0.0248300071214161,0.0841847662570041
"drought","drought","Bulgaria",0.092186987592534,-0.0962773509721585,0.240339429870184
"earthquake","earthquake","Bulgaria",-0.0799015631223657,-0.200408138375414,0.0279855697455315
"flooding","flooding","Bulgaria",0.0670166763848767,-0.0205839909603658,0.148675080474761
"heatwave","heatwave","Bulgaria",0.128527614380166,-0.0934384787996089,0.284073231716329
"hurricane","hurricane","Bulgaria",0.0698060434788204,-0.0142601153246709,0.124340889961265
"mudslide","mudslide","Bulgaria",0.106151078514917,-0.00628433130801888,0.235151129281046
"sandstorm","sandstorm","Bulgaria",0.0585973112705609,-0.31191211596476,0.304801605233444
"snowstorm","snowstorm","Bulgaria",0.063411384238034,-0.132685148146205,0.237939589387008
"thunder","thunder","Bulgaria",0.067217905604191,-0.0951023914999853,0.195839521606463
"tornado","tornado","Bulgaria",0.0806859348083435,-0.0790025964133701,0.245316885440401
"volcano","volcano","Bulgaria",-0.0103495253747036,-0.407000002687695,0.286724027713912
"wildfire","wildfire","Bulgaria",0.0684547103116881,-0.0741709116546766,0.159205650719441
"drought","drought","China",0.0720917715315372,-0.0337928848875829,0.225987034686564
"earthquake","earthquake","China",0.0992895658196517,0.0359896213008506,0.177068571631177
"flooding","flooding","China",0.111821088183651,0.0666569234796487,0.162918248031525
"heatwave","heatwave","China",0.161232945872475,0.0822016926033724,0.25907578352834
"hurricane","hurricane","China",0.0598353669108575,0.0276160731052585,0.117003370489447
"mudslide","mudslide","China",0.0872381859317432,0.0258089300567179,0.265926266904298
"sandstorm","sandstorm","China",0.0152315367945757,-0.132370372196115,0.223853517672629
"snowstorm","snowstorm","China",0.061608466105951,-0.00783237741677249,0.173183141751226
"thunder","thunder","China",0.0438952320238425,-0.0478825101282767,0.169066183478778
"tornado","tornado","China",0.0695614740656992,-0.0157058603238196,0.341058018974243
"volcano","volcano","China",-0.0146181663730549,-0.147747489044809,0.175991553233955
"wildfire","wildfire","China",0.0544824880017084,-0.0132199634377417,0.171179392272463
"drought","drought","El Salvador",0.0897611666249805,-0.0867420833641633,0.228079286920818
"earthquake","earthquake","El Salvador",0.132966083733568,0.0463659425215232,0.220466294767169
"flooding","flooding","El Salvador",0.109393418904289,0.0353332729575688,0.177525187293188
"heatwave","heatwave","El Salvador",0.123984139250443,-0.0892498682415114,0.268969388134713
"hurricane","hurricane","El Salvador",0.0752625537969706,0.0117933701966505,0.142013311789619
"mudslide","mudslide","El Salvador",0.110069706715092,0.029900330724116,0.229133319554282
"sandstorm","sandstorm","El Salvador",0.054715290082293,-0.304489196706648,0.283190748238705
"snowstorm","snowstorm","El Salvador",0.0608896809049049,-0.115150000379383,0.221772277206441
"thunder","thunder","El Salvador",0.0648294858066297,-0.0860551486183133,0.192137460540556
"tornado","tornado","El Salvador",0.0684718678897767,-0.116708029002274,0.202988908848386
"volcano","volcano","El Salvador",-0.0128984956323324,-0.41332386053622,0.272563288781326
"wildfire","wildfire","El Salvador",0.043431278313486,-0.119889538493925,0.111383773551504
"drought","drought","France",0.120289357322338,-0.0446418476162773,0.264693901515041
"earthquake","earthquake","France",0.102429348844655,-0.031118348711027,0.233875482895429
"flooding","flooding","France",0.0447226164149989,-0.0324408176475188,0.115502459534286
"heatwave","heatwave","France",0.133189175231665,-0.0909789575081495,0.304448811722343
"hurricane","hurricane","France",0.0810239977209185,0.015383545837333,0.158198480759843
"mudslide","mudslide","France",0.106894502891573,-0.0243450504432315,0.22569877085837
"sandstorm","sandstorm","France",0.0576543173144178,-0.297841528758867,0.322243185876751
"snowstorm","snowstorm","France",0.074875276205915,-0.0912139527622347,0.255092495655452
"thunder","thunder","France",0.069188811947681,-0.0955331039562951,0.212815107166159
"tornado","tornado","France",0.0791257194732022,-0.0934054328848622,0.241208091906142
"volcano","volcano","France",-0.0121366075516437,-0.380581299868791,0.300151878073521
"wildfire","wildfire","France",0.0753473439410639,-0.057453303312964,0.189800936461627
"drought","drought","Guatemala",0.0830092047482468,-0.0779279511297731,0.215096629090228
"earthquake","earthquake","Guatemala",0.0627329918264395,-0.0305475931192346,0.148121797494906
"flooding","flooding","Guatemala",0.102414232335265,0.036202871972968,0.164700201799859
"heatwave","heatwave","Guatemala",0.119555423386915,-0.0932728342039048,0.255054594162771
"hurricane","hurricane","Guatemala",0.0744025828839266,0.0150937735972143,0.140179174283558
"mudslide","mudslide","Guatemala",0.0841416316439616,-0.0564505093906192,0.15548872475604
"sandstorm","sandstorm","Guatemala",0.0534464140604421,-0.307298312439836,0.266436481366541
"snowstorm","snowstorm","Guatemala",0.0604547126927391,-0.126554737987709,0.205630802002989
"thunder","thunder","Guatemala",0.0557905776527023,-0.118860563405423,0.16592417596597
"tornado","tornado","Guatemala",0.0745168989724668,-0.0941659482983074,0.224836158239545
"volcano","volcano","Guatemala",-0.0793853441497028,-0.561135368708262,0.0958380874445191
"wildfire","wildfire","Guatemala",0.0805696108494214,-0.00258051107609048,0.191637936226992
"drought","drought","Iraq",0.0967122163664024,-0.000359582567225245,0.197803389412473
"earthquake","earthquake","Iraq",0.0926826243889891,-0.0263750490176825,0.246242659226658
"flooding","flooding","Iraq",0.13576274123643,0.0658409412998832,0.209115904930131
"heatwave","heatwave","Iraq",0.086874003800506,-0.0336363273739236,0.194790653238094
"hurricane","hurricane","Iraq",0.0748896183524275,0.00956498516713676,0.149091694969775
"mudslide","mudslide","Iraq",0.105472820522424,-0.0160886453471403,0.261924737044622
"sandstorm","sandstorm","Iraq",0.0983501790704935,-0.0942754781545947,0.345524187712935
"snowstorm","snowstorm","Iraq",0.0832660438904236,-0.0553133087733698,0.3220406733091
"thunder","thunder","Iraq",0.0660609443419312,-0.0250749520810019,0.161929108751876
"tornado","tornado","Iraq",0.111752577974094,0.00790806007054855,0.349998787582321
"volcano","volcano","Iraq",-0.0120462508704123,-0.257388258160016,0.33594687177255
"wildfire","wildfire","Iraq",0.0799645998754169,-0.0243355981129656,0.221089605025359
"drought","drought","Kuwait",0.09425464183401,-0.0925413731048357,0.281412118126836
"earthquake","earthquake","Kuwait",-0.000596181281173747,-0.0855666436838864,0.0809316938967678
"flooding","flooding","Kuwait",0.0513013467441606,-0.0267144251414085,0.128223648156655
"heatwave","heatwave","Kuwait",0.216103479494492,0.130724114023133,0.303565567889008
"hurricane","hurricane","Kuwait",0.0768515882299895,0.00178181278720963,0.153537079214229
"mudslide","mudslide","Kuwait",0.10887683804902,-0.00711862714267086,0.258391040768642
"sandstorm","sandstorm","Kuwait",0.160937235566594,0.0563366566706682,0.264479461827291
"snowstorm","snowstorm","Kuwait",0.0622649456075353,-0.108933294646585,0.267247632373318
"thunder","thunder","Kuwait",0.0457053374490842,-0.124787049315044,0.159408328520477
"tornado","tornado","Kuwait",0.0963484972848027,-0.0323006732360698,0.336169850936197
"volcano","volcano","Kuwait",-0.0112266861198803,-0.30454478937655,0.338065321345033
"wildfire","wildfire","Kuwait",0.0755536360201789,-0.0445099589220926,0.204329106522713
"drought","drought","Kyrgyzstan",0.0989809779898969,-0.0158603080533086,0.197558744837294
"earthquake","earthquake","Kyrgyzstan",0.107769286270879,-0.0010232541048417,0.212213831158953
"flooding","flooding","Kyrgyzstan",0.0872151929024293,-0.00144442834252229,0.160723904080524
"heatwave","heatwave","Kyrgyzstan",0.118325079099257,-0.0849579807698535,0.258676064830185
"hurricane","hurricane","Kyrgyzstan",0.0712684762196176,0.00289379842384437,0.131505719816565
"mudslide","mudslide","Kyrgyzstan",0.0948494559335362,-0.0228080511651904,0.191576716306037
"sandstorm","sandstorm","Kyrgyzstan",0.0534958985932215,-0.306623388474682,0.262467989283452
"snowstorm","snowstorm","Kyrgyzstan",0.108679525224786,0.0124241357556355,0.234555695835989
"thunder","thunder","Kyrgyzstan",0.0637820353623,-0.0944773036838991,0.182898354164122
"tornado","tornado","Kyrgyzstan",0.0753696394131663,-0.080515949972429,0.222889391608089
"volcano","volcano","Kyrgyzstan",-0.0120573708553601,-0.423057341690095,0.246286936480989
"wildfire","wildfire","Kyrgyzstan",0.0736064271505217,-0.0387672279397203,0.175022742799957
"drought","drought","Madagascar",0.10624845065401,-0.00548112608271251,0.201611336935668
"earthquake","earthquake","Madagascar",0.0753627307384781,-0.0373278515945048,0.173169921919152
"flooding","flooding","Madagascar",0.10114059515348,0.0355931933051989,0.16449542099235
"heatwave","heatwave","Madagascar",0.108953104791712,-0.10767173095572,0.232890326792714
"hurricane","hurricane","Madagascar",0.0696297652154809,0.0294806834457286,0.118366664844444
"mudslide","mudslide","Madagascar",0.0903954431521448,-0.00989805033184977,0.182235012235136
"sandstorm","sandstorm","Madagascar",0.0488942072365506,-0.327482373852085,0.235724288614973
"snowstorm","snowstorm","Madagascar",0.0553164497877214,-0.123439802308252,0.194974946431877
"thunder","thunder","Madagascar",0.0453724845347351,-0.155610398387829,0.133770740506157
"tornado","tornado","Madagascar",0.0705585914509674,-0.0780789969001,0.200316448902382
"volcano","volcano","Madagascar",-0.0118875183728673,-0.427541321111518,0.223957398770041
"wildfire","wildfire","Madagascar",0.0654536416474505,-0.050653543875274,0.160250406586589
"drought","drought","Mongolia",0.0908277158820241,-0.0903676604099448,0.246845153130277
"earthquake","earthquake","Mongolia",0.0802289001891034,-0.00437946430881316,0.167456254197391
"flooding","flooding","Mongolia",0.0900745658091845,0.0233641738957398,0.154714319831893
"heatwave","heatwave","Mongolia",0.135257650279768,-0.112621410300737,0.309312363413946
"hurricane","hurricane","Mongolia",0.0787671548837454,-0.00358665837014242,0.153227672310809
"mudslide","mudslide","Mongolia",0.111193009534093,-0.00931483571363229,0.240537317213806
"sandstorm","sandstorm","Mongolia",0.0664620957850002,-0.184978079585939,0.275679050080627
"snowstorm","snowstorm","Mongolia",0.0923275228955962,-0.0182321787906028,0.228829403059297
"thunder","thunder","Mongolia",0.0710352576557639,-0.0938196010220924,0.220403656691341
"tornado","tornado","Mongolia",0.0897224805435277,-0.0469859707739204,0.257676756314113
"volcano","volcano","Mongolia",-0.01237950536221,-0.37138142010775,0.312537175222238
"wildfire","wildfire","Mongolia",0.0812636409324391,-0.0423935761993978,0.208738942367839
"drought","drought","New Zealand",0.0916588848306451,-0.102784061463929,0.262817186760904
"earthquake","earthquake","New Zealand",0.0579563277213724,-0.0475045929791079,0.159001673443087
"flooding","flooding","New Zealand",0.0848920432976507,0.0242884503222836,0.144661251284722
"heatwave","heatwave","New Zealand",0.133168643632024,-0.0846779354964793,0.313826960855988
"hurricane","hurricane","New Zealand",0.0744930143935979,0.0138401010007543,0.123304445748495
"mudslide","mudslide","New Zealand",0.109285346757685,-0.0131155909707676,0.239808189677399
"sandstorm","sandstorm","New Zealand",0.0579782279741996,-0.286577754989334,0.346925403266595
"snowstorm","snowstorm","New Zealand",0.0653084888776774,-0.12961024525649,0.256384171652428
"thunder","thunder","New Zealand",0.0688286864609493,-0.0872166551402823,0.210410118922117
"tornado","tornado","New Zealand",0.0444455247447832,-0.0935421527527931,0.13428423646286
"volcano","volcano","New Zealand",0.0126626836638358,-0.245581332723424,0.37166737905558
"wildfire","wildfire","New Zealand",0.0759671942011689,-0.0530778862075425,0.18950179635354
"drought","drought","Portugal",0.0609392004062265,-0.0678941830709971,0.142020485883729
"earthquake","earthquake","Portugal",0.0581467864177138,-0.026395220547716,0.127728618719546
"flooding","flooding","Portugal",0.0583990019763137,0.00788300713297856,0.102808700897121
"heatwave","heatwave","Portugal",0.0808831025634313,-0.0702140035884692,0.161035194738359
"hurricane","hurricane","Portugal",0.0482672134882871,-0.00663167861813526,0.0859390954942296
"mudslide","mudslide","Portugal",0.0682027116578127,-0.00462998366895536,0.131238552194229
"sandstorm","sandstorm","Portugal",0.0385517577929068,-0.291286599402779,0.16971011511758
"snowstorm","snowstorm","Portugal",0.0421269656932825,-0.0932499638574089,0.139024940454579
"thunder","thunder","Portugal",0.0464714941313642,-0.0622424670669798,0.120233170080565
"tornado","tornado","Portugal",0.0551160673392954,-0.0612578749142061,0.146759947937571
"volcano","volcano","Portugal",-0.00858607847307416,-0.484616822793286,0.165625740455675
"wildfire","wildfire","Portugal",0.0479959105625379,-0.00308353168424296,0.0892492280699388
"drought","drought","South Korea",0.0836738215120376,-0.0829540982397978,0.20726481419748
"earthquake","earthquake","South Korea",0.0694682350186889,-0.0618339038502243,0.18079434012124
"flooding","flooding","South Korea",0.0746508422940858,0.0180815261850403,0.128231419093132
"heatwave","heatwave","South Korea",0.11786379492967,-0.0540805170261493,0.234897645011208
"hurricane","hurricane","South Korea",0.0689607132232248,0.00423749452258527,0.127877671199691
"mudslide","mudslide","South Korea",0.095251292407767,-0.0140552805925499,0.193482618629657
"sandstorm","sandstorm","South Korea",0.0524159105260109,-0.323232832705443,0.256211231685167
"snowstorm","snowstorm","South Korea",0.0671312280267507,-0.041061494343499,0.176406841239707
"thunder","thunder","South Korea",0.0599725785236852,-0.0855721602993391,0.176326741993333
"tornado","tornado","South Korea",0.0722941129103674,-0.0824213444576888,0.205850639623542
"volcano","volcano","South Korea",-0.0119957536941381,-0.433488909433295,0.235681264617847
"wildfire","wildfire","South Korea",0.0677837641756455,-0.050909203713846,0.161001099578677
"drought","drought","Sweden",0.0935308374565458,-0.0842312481562772,0.269371341211136
"earthquake","earthquake","Sweden",0.0688251408768174,-0.0831210874843617,0.206253879930558
"flooding","flooding","Sweden",0.0408563353494229,-0.0374111115172524,0.115064425735338
"heatwave","heatwave","Sweden",0.134649027481399,-0.0860152589275935,0.321497622300188
"hurricane","hurricane","Sweden",0.0739113897887991,-0.00912724108661122,0.13692438237984
"mudslide","mudslide","Sweden",0.111033731638661,0.000245353698609419,0.235775651740871
"sandstorm","sandstorm","Sweden",0.0559816367409396,-0.290224171218169,0.341722179927601
"snowstorm","snowstorm","Sweden",0.0689770768612407,-0.105804571448155,0.257998155054894
"thunder","thunder","Sweden",0.0631446252803538,-0.108431632585605,0.194813503430812
"tornado","tornado","Sweden",0.0881908211001415,-0.0705441866796523,0.283949791081162
"volcano","volcano","Sweden",-0.0140422635270656,-0.354349596644359,0.316361524586719
"wildfire","wildfire","Sweden",0.0684471313837698,-0.021145156912581,0.134949869046189
"drought","drought","Turkey",0.0820253319806825,-0.0944954047492845,0.2049016237681
"earthquake","earthquake","Turkey",-0.0351063061246993,-0.106195850773586,0.0316555812030044
"flooding","flooding","Turkey",0.0560608363187277,-0.0305808146738491,0.127813754195562
"heatwave","heatwave","Turkey",0.111746934395896,-0.0897577524454481,0.234106321411288
"hurricane","hurricane","Turkey",0.06749303805237,0.00264068684375282,0.122552987632619
"mudslide","mudslide","Turkey",0.0944865880536701,0.000475322624885618,0.192564877702411
"sandstorm","sandstorm","Turkey",0.0520326098191235,-0.347619972974293,0.247270709549362
"snowstorm","snowstorm","Turkey",0.044506059274761,-0.150841172303588,0.172877868795858
"thunder","thunder","Turkey",0.0630721329139841,-0.0775317484690175,0.176255265742414
"tornado","tornado","Turkey",0.0715458108367823,-0.0814226637730274,0.205890738833579
"volcano","volcano","Turkey",-0.0119307362257603,-0.439585317893183,0.226461250914629
"wildfire","wildfire","Turkey",0.0678390954375415,-0.0379326665629789,0.162458310724985
"drought","drought","Uganda",0.0946930180875231,0.0179848407419692,0.171379740186014
"earthquake","earthquake","Uganda",0.0673970231353428,-0.0809172407072039,0.202313443916218
"flooding","flooding","Uganda",0.0440623217210861,-0.0229293206590057,0.108753303340235
"heatwave","heatwave","Uganda",0.133607917895185,-0.0974642341324221,0.30729138047171
"hurricane","hurricane","Uganda",0.0823243803392103,0.0146485151327945,0.161204469990813
"mudslide","mudslide","Uganda",0.0954468737317389,-0.0412392504021168,0.18504291743797
"sandstorm","sandstorm","Uganda",0.0571830628168966,-0.30046173495277,0.327077161520977
"snowstorm","snowstorm","Uganda",0.0667562664152779,-0.121934271610793,0.252162667339171
"thunder","thunder","Uganda",0.0692836957794487,-0.0833838759383187,0.206763570895207
"tornado","tornado","Uganda",0.0834133245191518,-0.0859866024725713,0.262167213518021
"volcano","volcano","Uganda",-0.0119791167437762,-0.385107478600446,0.308391180694358
"wildfire","wildfire","Uganda",0.0772675303702252,-0.0552498657773336,0.192179069449066
"drought","drought","United Arab Emirates",0.0851714709054412,-0.0666535166637372,0.268873138051559
"earthquake","earthquake","United Arab Emirates",0.0583217759448543,-0.0141850450923135,0.137561976639403
"flooding","flooding","United Arab Emirates",0.0933942044432514,0.0123648627401375,0.185734643493109
"heatwave","heatwave","United Arab Emirates",0.121523252465039,-0.0632486203325279,0.340003436780542
"hurricane","hurricane","United Arab Emirates",0.0677907154950277,0.000184868838767154,0.13977260852082
"mudslide","mudslide","United Arab Emirates",0.0968751263652796,-0.0133872647184753,0.234956070285267
"sandstorm","sandstorm","United Arab Emirates",0.0507983179144081,-0.180581294575108,0.377945207531214
"snowstorm","snowstorm","United Arab Emirates",0.0655866235281682,-0.0639685999259713,0.291011441741041
"thunder","thunder","United Arab Emirates",0.0624363228089412,-0.0522352086653246,0.204254782468178
"tornado","tornado","United Arab Emirates",0.0751642012271926,-0.046221752575508,0.240582273729007
"volcano","volcano","United Arab Emirates",-0.00960949618886073,-0.214747489274386,0.333106439495548
"wildfire","wildfire","United Arab Emirates",0.0663737999514513,-0.0380422633972192,0.200611056160047
"drought","drought","Uruguay",0.0873976511679047,0.0175746685689255,0.150316320722234
"earthquake","earthquake","Uruguay",0.0550787334126294,-0.0705943692443696,0.155110790384365
"flooding","flooding","Uruguay",0.0725988707182785,0.00899285124765649,0.130081756171265
"heatwave","heatwave","Uruguay",0.109644081880617,-0.0666701504952007,0.22490445892989
"hurricane","hurricane","Uruguay",0.0659633118796305,0.00758007061073243,0.123381239747983
"mudslide","mudslide","Uruguay",0.0868199038453042,-0.0113055028415272,0.174328718010996
