"term","group","contrast","resilience_household_within_z","estimate","conf.low","conf.high"
"hazard_type","1","drought - none",-1,-0.0681552611759363,-0.0826530622000417,-0.0537552590563418
"hazard_type","1","earthquake - none",-1,-0.0451759742758368,-0.060074193421069,-0.0306797590375987
"hazard_type","1","flooding - none",-1,-0.0592394390980945,-0.0680120799606556,-0.050921996351048
"hazard_type","1","heatwave - none",-1,-0.0813108503865482,-0.103181756266449,-0.0546966379220238
"hazard_type","1","hurricane - none",-1,-0.024439212482248,-0.0381379335085328,-0.00969365710565845
"hazard_type","1","mudslide - none",-1,-0.0565955591275812,-0.085468172877154,-0.0214125570967398
"hazard_type","1","sandstorm - none",-1,-0.0731952140950201,-0.113553512112023,-0.0147436711784751
"hazard_type","1","snowstorm - none",-1,-0.0560234410340277,-0.0933729146108163,-0.00803952164251204
"hazard_type","1","thunder - none",-1,-0.0593954113491297,-0.0852935957861828,-0.0315715891241896
"hazard_type","1","tornado - none",-1,-0.0506293764819301,-0.0838441635940723,-0.010140904968159
"hazard_type","1","volcano - none",-1,0.0281745155270105,-0.053469275574553,0.136186256369277
"hazard_type","1","wildfire - none",-1,-0.0600324105293639,-0.081698628586016,-0.0359574732250132
"hazard_type","2","drought - none",-1,-0.0126250155093211,-0.0374261558549204,0.01308553488904
"hazard_type","2","earthquake - none",-1,-0.0390829108807749,-0.0596772466657711,-0.0185466317194868
"hazard_type","2","flooding - none",-1,-0.0370216599761973,-0.0488893082907657,-0.0245169825425891
"hazard_type","2","heatwave - none",-1,-0.0217095343217265,-0.0677489559719821,0.029040280667259
"hazard_type","2","hurricane - none",-1,-0.052236700079892,-0.0722818077644403,-0.0326046236112027
"hazard_type","2","mudslide - none",-1,-0.0784766724422017,-0.128114058248509,-0.0248188119051648
"hazard_type","2","sandstorm - none",-1,0.0520260839436863,-0.0366020069748659,0.145968692955643
"hazard_type","2","snowstorm - none",-1,0.00692090923642122,-0.0488724144826096,0.0688700123986283
"hazard_type","2","thunder - none",-1,-0.00109321029353372,-0.0450527394462954,0.041836691024104
"hazard_type","2","tornado - none",-1,-0.05748390451477,-0.115432667723975,0.00503482031997997
"hazard_type","2","volcano - none",-1,0.0587418661445789,-0.0508419685335176,0.184196374331446
"hazard_type","2","wildfire - none",-1,-0.0384619215794996,-0.0766425222131322,0.00190913528755171
"hazard_type","3","drought - none",-1,0.0808329916255322,0.0544104216754988,0.106296758085469
"hazard_type","3","earthquake - none",-1,0.0841751189666652,0.0619446195673108,0.106566376815713
"hazard_type","3","flooding - none",-1,0.0961179722281754,0.0831440463183117,0.108907756958843
"hazard_type","3","heatwave - none",-1,0.102241067536931,0.0468112963724602,0.150917429387852
"hazard_type","3","hurricane - none",-1,0.0767650000769338,0.0548518991665895,0.0980910804120881
"hazard_type","3","mudslide - none",-1,0.133982253391557,0.0780127926128271,0.187999403452435
"hazard_type","3","sandstorm - none",-1,0.0191363748158072,-0.0839878388810552,0.114381443668086
"hazard_type","3","snowstorm - none",-1,0.0480356328075213,-0.0166532764574841,0.110211488254393
"hazard_type","3","thunder - none",-1,0.0603687998459171,0.015214798317107,0.106191914592053
"hazard_type","3","tornado - none",-1,0.106160732669894,0.038656915669518,0.171248649899359
"hazard_type","3","volcano - none",-1,-0.0931591723438179,-0.216530324273196,0.033619074675843
"hazard_type","3","wildfire - none",-1,0.0978872940503637,0.057583133312636,0.138519687708924
"hazard_type","1","drought - none",0,-0.0634253863669869,-0.0744059720961067,-0.0524574284639671
"hazard_type","1","earthquake - none",0,-0.0356672565818987,-0.0466595758408681,-0.0246840682533597
"hazard_type","1","flooding - none",0,-0.0527329330357906,-0.0595289370773323,-0.0464808259894744
"hazard_type","1","heatwave - none",0,-0.0880422596926383,-0.104254826407368,-0.0710656416157197
"hazard_type","1","hurricane - none",0,-0.0244630747424416,-0.03450880472974,-0.0135372146288876
"hazard_type","1","mudslide - none",0,-0.0372325294368812,-0.0610318006044367,-0.0102409923625783
"hazard_type","1","sandstorm - none",0,-0.0841156246332182,-0.113180615399939,-0.0471608179908618
"hazard_type","1","snowstorm - none",0,-0.0574672606502338,-0.083316676057786,-0.0272751576338795
"hazard_type","1","thunder - none",0,-0.0634737546290767,-0.0815798769215568,-0.0445459847902513
"hazard_type","1","tornado - none",0,-0.0286593341477915,-0.054574522141199,0.00150101899286619
"hazard_type","1","volcano - none",0,-0.0258018151176441,-0.0677981260228323,0.028322413890652
"hazard_type","1","wildfire - none",0,-0.0423150733924697,-0.059067759682749,-0.0256110912861477
"hazard_type","2","drought - none",0,-0.0156514011294872,-0.033820746979035,0.0022599342274803
"hazard_type","2","earthquake - none",0,-0.0299608595288902,-0.0451518940088994,-0.0150070297445029
"hazard_type","2","flooding - none",0,-0.035107753149098,-0.0433467328776869,-0.0261019676184113
"hazard_type","2","heatwave - none",0,-0.0423430372507213,-0.0747056043306006,-0.00754426930552187
"hazard_type","2","hurricane - none",0,-0.0507975360134774,-0.065706510693007,-0.0358160851508882
"hazard_type","2","mudslide - none",0,-0.0724180262669302,-0.107562003057283,-0.0371069966655904
"hazard_type","2","sandstorm - none",0,-0.00353434696344945,-0.0605362305115872,0.0583990244370052
"hazard_type","2","snowstorm - none",0,-0.00225868649366326,-0.0401214813399315,0.039351250595209
"hazard_type","2","thunder - none",0,-0.00871624242559793,-0.0378283717166618,0.0215832833280918
"hazard_type","2","tornado - none",0,-0.0484917575198786,-0.0882742204407585,-0.00661483233106941
"hazard_type","2","volcano - none",0,0.0404865561670037,-0.0305003197086358,0.119050008424582
"hazard_type","2","wildfire - none",0,-0.0395359763928102,-0.0642547714134659,-0.0139641313120615
"hazard_type","3","drought - none",0,0.0790315289584527,0.0599002959112913,0.0981478980103415
"hazard_type","3","earthquake - none",0,0.0656357046347038,0.049277358838143,0.0819076004860311
"hazard_type","3","flooding - none",0,0.0879010020443216,0.0785934148819257,0.0968756579579573
"hazard_type","3","heatwave - none",0,0.130249802960667,0.0923960457403626,0.166197940324688
"hazard_type","3","hurricane - none",0,0.075180092068505,0.0588924511362905,0.0914943668382755
"hazard_type","3","mudslide - none",0,0.109485364419962,0.0704047169414773,0.146984675210728
"hazard_type","3","sandstorm - none",0,0.0858604446406361,0.0189221754126749,0.150743804492983
"hazard_type","3","snowstorm - none",0,0.0586000776418804,0.0147308918395746,0.100424359470501
"hazard_type","3","thunder - none",0,0.0716832866415429,0.0411664285338896,0.103286565978405
"hazard_type","3","tornado - none",0,0.0764860114423564,0.0314999018819788,0.120524703492596
"hazard_type","3","volcano - none",0,-0.0169705252076998,-0.101311181964758,0.0641746901594342
"hazard_type","3","wildfire - none",0,0.0812439803805429,0.0547147213461099,0.107978498279603
"hazard_type","1","drought - none",1,-0.0583989260617914,-0.072622819567068,-0.043747383114969
"hazard_type","1","earthquake - none",1,-0.0256719874131829,-0.0394228294049809,-0.0105103646170601
"hazard_type","1","flooding - none",1,-0.0461102944295732,-0.0543275704800394,-0.0385774166056633
"hazard_type","1","heatwave - none",1,-0.0943278981880695,-0.113490383303125,-0.072177457146001
"hazard_type","1","hurricane - none",1,-0.0241652515484976,-0.037903922506525,-0.010450861996873
"hazard_type","1","mudslide - none",1,-0.0142922836149975,-0.0462118124723497,0.0207503469895641
"hazard_type","1","sandstorm - none",1,-0.0935833624000653,-0.130082138924238,-0.0401547147122946
"hazard_type","1","snowstorm - none",1,-0.0587224512072661,-0.0905628985214676,-0.0195254010313172
"hazard_type","1","thunder - none",1,-0.0667702743768917,-0.0902746183159103,-0.0414063605663085
"hazard_type","1","tornado - none",1,-0.00360144806129841,-0.0411281708914965,0.0404080661848422
"hazard_type","1","volcano - none",1,-0.0654273926246525,-0.106758278640314,-0.00489370854311564
"hazard_type","1","wildfire - none",1,-0.022223529462798,-0.0430966999217987,0.000173480902707957
"hazard_type","2","drought - none",1,-0.0187863373315247,-0.0412509182824192,0.00431958871043632
"hazard_type","2","earthquake - none",1,-0.0208105436009285,-0.0395468463993594,-0.00288649966608399
"hazard_type","2","flooding - none",1,-0.0333576272450046,-0.0442159108907489,-0.0221415919640306
"hazard_type","2","heatwave - none",1,-0.0626167856415953,-0.104485436552964,-0.0165478677932347
"hazard_type","2","hurricane - none",1,-0.0492300870631462,-0.0685147067069001,-0.0298254234896555
"hazard_type","2","mudslide - none",1,-0.0684835708162077,-0.113444406842041,-0.0224705452280733
"hazard_type","2","sandstorm - none",1,-0.0568471562415793,-0.133427628745085,0.0310543895715687
"hazard_type","2","snowstorm - none",1,-0.0108898436331818,-0.0610410542981898,0.0433734459642175
"hazard_type","2","thunder - none",1,-0.0159862605174252,-0.0526097299315145,0.022692899199837
"hazard_type","2","tornado - none",1,-0.0416116944244634,-0.0917774865773276,0.0141539109552135
"hazard_type","2","volcano - none",1,0.0104264512907017,-0.0741376876437299,0.109435820503498
"hazard_type","2","wildfire - none",1,-0.0412837478093865,-0.070665148525681,-0.0103427543379753
"hazard_type","3","drought - none",1,0.0769832754705165,0.0524503252183287,0.10096780796693
"hazard_type","3","earthquake - none",1,0.0463785835927692,0.0256342252253696,0.0671231693339186
"hazard_type","3","flooding - none",1,0.0793886828567075,0.0671691438176193,0.0912423369523222
"hazard_type","3","heatwave - none",1,0.156384080553881,0.105541135149794,0.203064239615237
"hazard_type","3","hurricane - none",1,0.0734660338868685,0.0522046371231388,0.0943566640857303
"hazard_type","3","mudslide - none",1,0.08289819561964,0.0322797368695096,0.128816192626639
"hazard_type","3","sandstorm - none",1,0.147748632679515,0.0504524740291225,0.234753273294303
"hazard_type","3","snowstorm - none",1,0.0683580073073905,0.0108836486051123,0.1244144204557
"hazard_type","3","thunder - none",1,0.0823915073616907,0.0411293219762851,0.122436077705435
"hazard_type","3","tornado - none",1,0.044072621596436,-0.0146742079155476,0.100749723019797
"hazard_type","3","volcano - none",1,0.0517739496849305,-0.0495199339448736,0.148700414929424
"hazard_type","3","wildfire - none",1,0.0633982414012961,0.0297621060216209,0.0950811664912876
